movie,reviewer,metascore,review_score,review_text,review_date,release_date,acclaim_rate,user_score,director,languages,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,unknown,release_decade
Drinking Buddies,A.O. Scott,71.0,100,"Drinking Buddies, Joe Swanberg’s nimble, knowing and altogether excellent new film, refuses to dance to the usual tune.",2013-08-22,2013-08-23,Generally favorable reviews,64.0,Joe Swanberg,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010s
"20,000 Days on Earth",Stephen Holden,83.0,100,It is as intimate and honest a portrait of a rock artist’s creative roots as any film has attempted.,2014-09-17,2014-09-17,Generally favorable reviews,65.0,Iain Forsyth,English,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Dirties,Jeannette Catsoulis,65.0,100,"Remarkable as much for its insights as for its audacity, The Dirties approaches school violence with a comic veneer that slowly shades into deep darkness.",2013-10-03,2013-10-04,Generally favorable reviews,70.0,Matt Johnson,English,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Neon Bull,Stephen Holden,80.0,100,Neon Bull is a profound reflection on the intersection of the human and bestial.,2016-04-07,2016-04-08,Generally favorable reviews,79.0,Gabriel Mascaro,Portuguese,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Goodbye Solo,A.O. Scott,89.0,100,"Grace is also what defines Mr. Bahrani's filmmaking. I can't think of anything else to call the quality of exquisite attention, wry humor and wide-awake intelligence that informs every frame of this almost perfect film.",,2009-03-27,Generally favorable reviews,74.0,Ramin Bahrani,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Newtown,Neil Genzlinger,87.0,100,"This film isn’t content to be merely a “never forget” reminder; it wants to convey just how deep and lasting the pain is, from this attack and, by extension, many others.",2016-10-06,2016-10-07,Generally favorable reviews,76.0,Kim A. Snyder,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Short Cuts,Vincent Canby,79.0,100,"It raises the spirits not by phony sentimentality but by the amplitude of its art. From time to time, it is also roaringly funny... A terrific movie. [1 Oct 1993, p.C1]",,1993-10-03,Generally favorable reviews,72.0,Robert Altman,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990s
Side by Side,A.O. Scott,82.0,100,"For a film geek this movie is absolute heaven, a dream symposium in which directors, cinematographers, editors and a few actors gather to opine on the details of their craft. It is worth a year of film school and at least 1,000 hours of DVD bonus commentary.",2012-08-30,2012-08-17,Universal acclaim,83.0,Christopher Kenneally,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Toy Story 3,A.O. Scott,92.0,100,"As sweet, as touching, as humane a movie as you are likely to see this summer.",,2010-06-18,Universal acclaim,89.0,Lee Unkrich,English,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Ponyo,Manohla Dargis,86.0,100,"The latest masterwork from Hayao Miyazaki, places emphasis on the natural world, its tumults and fragility.",,2009-08-14,Generally favorable reviews,76.0,Hayao Miyazaki,Japanese,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
April and the Extraordinary World,Glenn Kenny,85.0,100,"Influences aside, the movie so teems with delightful detail and has such an exuberant sense of play that it feels entirely fresh.",2016-03-24,2016-03-25,Generally favorable reviews,74.0,Christian Desmares,French,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010s
Post Tenebras Lux,Manohla Dargis,69.0,100,"Life and death, nature and culture, sex and money, man and beast, God and the Devil — Post Tenebras Lux embraces the world even if it doesn’t open itself up to ready interpretation.",2013-04-30,2013-05-01,Generally favorable reviews,68.0,Carlos Reygadas,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Trophy,Jeannette Catsoulis,80.0,100,"The intimacy of the film’s images and the surprising candor of its participants are disarming: Whatever your initial response, be prepared to re-evaluate.",2017-09-07,2017-09-08,No score yet,,Christina Clusiau,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
At Berkeley,Stephen Holden,81.0,100,"A documentary necessarily conveys a point of view, and although Mr. Wiseman, as is his wont, is neither seen nor heard in a film that proceeds without commentary or subtitles, his spirit is palpable. Without overtly editorializing, the film quietly and steadfastly champions state-funded public education available to all.",2013-11-08,2013-11-08,No score yet,,Frederick Wiseman,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Tangerine,Manohla Dargis,85.0,100,"Tangerine encompasses dizzying multitudes — it’s a neo-screwball chase flick with a dash of Rainer Werner Fassbinder — but mostly, movingly, it is a female-friendship movie about two people who each started life with an XY chromosome set.",2015-07-09,2015-07-10,Generally favorable reviews,73.0,Sean Baker,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Lady Bird,A.O. Scott,94.0,100,"You might think you’ve seen this all before. You probably have, but never quite like this. What Ms. Gerwig has done — and it’s by no means a small accomplishment — is to infuse one of the most convention-bound, rose-colored genres in American cinema with freshness and surprise.",2017-10-31,2017-11-03,Universal acclaim,85.0,Greta Gerwig,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Big Short,A.O. Scott,81.0,100,"A true crime story and a madcap comedy, a heist movie and a scalding polemic, The Big Short will affirm your deepest cynicism about Wall Street while simultaneously restoring your faith in Hollywood.",2015-12-10,2015-12-11,Universal acclaim,82.0,Adam McKay,English,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
What Richard Did,Stephen Holden,80.0,100,Every detail of What Richard Did rings true.,2013-05-09,2013-05-10,Generally favorable reviews,66.0,Lenny Abrahamson,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Up the Yangtze,Stephen Holden,84.0,100,An astonishing documentary of culture clash and the erasure of history amid China’s economic miracle.,,2008-04-25,Generally favorable reviews,77.0,Yung Chang,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Under the Sun,Glenn Kenny,81.0,100,"The movie raises disquieting questions, including a few that Mr. Mansky might not have meant to.",2016-07-06,2016-07-06,Generally favorable reviews,61.0,Vitaliy Manskiy,Korean,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Ransom,Elvis Mitchell,60.0,100,"Mr. Howard has made Ransom in the same clean, swift, logical style that sent his ""Apollo 13"" into orbit, resulting in a spellbinding crime tale that delivers surprises right down to the wire.",,1996-11-08,Generally unfavorable reviews,21.0,Ron Howard,English,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1990s
Alexandra,Manohla Dargis,85.0,100,"A film of startling originality and beauty -- feels like a communiqué from another time, another place, anywhere but here.",,2008-03-26,Generally favorable reviews,73.0,Aleksandr Sokurov,Russian,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000s
Life Itself,,87.0,100,"Life Itself is a work of deftness and delicacy, by turns a film about illness and death, about writing, about cinema and, finally, and very movingly a film about love.",2014-07-03,2014-07-04,Universal acclaim,85.0,Steve James,English,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Hell or High Water,Jeannette Catsoulis,88.0,100,"Furnished with faces as beaten as the vehicles the brothers drive and discard, Hell or High Water is a chase movie disguised as a western. Its humor is as dry as prairie dust...and its morals are steadfastly gray.",2016-08-11,2016-08-12,Universal acclaim,82.0,David Mackenzie,English,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
The Kid with a Bike,Manohla Dargis,87.0,100,A quietly rapturous film about love and redemption.,2012-03-15,2012-03-16,Generally favorable reviews,75.0,Jean-Pierre Dardenne,French,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Ixcanul,Jeannette Catsoulis,83.0,100,"More than a fable about the clash of tradition and modernity, Ixcanul is finally a painful illustration of the ease with which those who have can prey on those who don’t.",2016-08-18,2016-08-19,Universal acclaim,83.0,Jayro Bustamante,Spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Caucus,Miriam Bale,74.0,100,The film is a testament to the power of observational documentary to tenderly present hypocrisy and to show eccentricity peeking out from behind social masks.,2013-11-08,2013-11-08,No score yet,,AJ Schnack,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Brazil,Janet Maslin,88.0,100,"Brazil may not be the best film of the year, but it's a remarkable accomplishment for Mr. Gilliam, whose satirical and cautionary impulses work beautifully together. His film's ambitious visual style bears this out, combining grim, overpowering architecture with clever throwaway touches.",,1985-12-18,Universal acclaim,89.0,Terry Gilliam,English,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980s
Avatar,Manohla Dargis,83.0,100,Glorious and goofy and blissfully deranged.,,2009-12-18,Generally favorable reviews,75.0,James Cameron,English,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000s
Beasts of the Southern Wild,A.O. Scott,86.0,100,"This movie is a blast of sheer, improbable joy, a boisterous, thrilling action movie with a protagonist who can hold her own alongside Katniss Everdeen, Princess Merida and the other brave young heroines of 2012.",2012-06-26,2012-06-27,Generally favorable reviews,75.0,Benh Zeitlin,English,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Sweetgrass,Manohla Dargis,80.0,100,"In Sweetgrass, a graceful and often moving meditation on a disappearing way of life, there is little here that is objective and much that is magnificent.",2013-07-09,2010-01-06,No score yet,,Ilisa Barbash,English,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000s
A Ghost Story,A.O. Scott,84.0,100,"A Ghost Story is suspenseful, dourly funny and at times piercingly emotional.",2017-07-06,2017-07-07,Generally favorable reviews,67.0,David Lowery,English,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010s
The Babadook,A.O. Scott,86.0,100,"The brilliance of The Babadook, beyond Ms. Kent’s skillful deployment of the tried-and-true visual and aural techniques of movie horror, lies in its interlocking ambiguities.",2014-11-28,2014-11-28,Universal acclaim,84.0,Jennifer Kent,English,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
What Now? Remind Me,Jeannette Catsoulis,86.0,100,"Gentle on the eyes but stirring to the mind, What Now? Remind Me is an extraordinary, almost indescribably personal reflection on life, love, suffering and impermanence.",2014-08-07,2014-08-08,Universal acclaim,93.0,Joaquim Pinto,Portuguese,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Meek's Cutoff,A.O. Scott,85.0,100,"Meek's Cutoff is as unsentimental and determined as Ms. Williams's character, its absolutely believable heroine. It is also a bracingly original foray into territory that remains, in every sense, unsettled.",2011-04-07,2011-04-08,Generally favorable reviews,63.0,Kelly Reichardt,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010s
Sweet Smell of Success (re-release),Dana Stevens,100.0,100,Its pleasures are almost obscenely abundant.,,2002-03-15,Generally favorable reviews,71.0,Alexander Mackendrick,English,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000s
Repulsion (re-release),Bosley Crowther,91.0,100,An absolute knockout of a movie in the psychological horror line has been accomplished by Roman Polanski in his first English-language film.  (Review of Original Release),,2006-04-21,Generally favorable reviews,75.0,Roman Polanski,English,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000s
Bridge of Spies,Manohla Dargis,81.0,100,"Like some of Mr. Spielberg’s other recent movies, notably “Lincoln” and “Munich,” this one is a meticulously detailed period piece that revisits the anxieties of the past while also speaking to those of the present. Yet it also feels lighter than those films, less weighted down by accreted history or maybe by a sense of duty to its significance.",2015-10-15,2015-10-16,Generally favorable reviews,76.0,Steven Spielberg,English,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
American Graffiti,,97.0,100,"American Graffiti exists not so much in its individual stories as in its orchestration of many stories, its sense of time and place. Although it is full of the material of fashionable nostalgia, it never exploits nostalgia. In its feeling for movement and music and the vitality of the night—and even in its vision in white—it is oddly closer to some early Fellini than to the recent American past of, say, The Last Picture Show or Summer of '42.",,1973-08-11,No score yet,,George Lucas,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970s
Embrace of the Serpent,Stephen Holden,82.0,100,"Viewed largely through the aggrieved eyes of a shaman whose tribe is on the verge of extinction at the hands of Colombian rubber barons in the 19th and 20th centuries, Embrace of the Serpent, a fantastical mixture of myth and historical reality, shatters lingering illusions of first-world culture as more advanced than any other, except technologically.",2016-02-18,2016-02-17,Generally favorable reviews,78.0,Ciro Guerra,German,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Virunga,Jeannette Catsoulis,95.0,100,"Showcasing the best and the worst in human nature, Orlando von Einsiedel’s devastating documentary “Virunga” wrenches a startlingly lucid narrative from a sickening web of bribery, corruption and violence.",2014-11-06,2014-11-07,Universal acclaim,81.0,Orlando von Einsiedel,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2010s
Days of Being Wild (re-release),Manohla Dargis,96.0,100,"As he (Wong Kar-wai) floods the screen with beauty and fills the soundtrack with hypnotic rhythms, he forges a filmmaking style of incomparable eroticism.",,2004-11-19,Generally favorable reviews,80.0,Kar Wai Wong,English,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000s
Theeb,Stephen Holden,80.0,100,"In Jacir Eid’s extraordinary performance, Theeb exhibits the composure, bravery and cunning of a little savage driven by animal instinct.",2015-11-05,2015-11-06,Generally favorable reviews,71.0,Naji Abu Nowar,Arabic,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
Policeman,Manohla Dargis,79.0,100,"In Policeman, Mr. Lapid, making an electrifying feature directing debut, traces the line between the group and the individual in a story that can be read as a commentary on the world as much as on Israel.",2014-06-12,2014-06-13,Generally favorable reviews,70.0,Nadav Lapid,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Tower,Manohla Dargis,92.0,100,"Using a limited frame, Mr. Maitland does his own commemorating, inherently raising questions about terror, the nature of heroism and what it means to really survive. He also does something even more necessary: He turns names on a plaque into people.",2016-10-11,2016-10-12,Universal acclaim,82.0,Keith Maitland,English,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Scott Pilgrim vs. the World,A.O. Scott,69.0,100,"Its speedy, funny, happy-sad spirit is so infectious that the movie makes you feel at home in its world even if the landscape is, at first glance, unfamiliar.",,2010-08-13,Universal acclaim,83.0,Edgar Wright,English,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000s
High Noon (re-release),Bosley Crowther,89.0,100,"Meaningful in its implications, as well as loaded with interest and suspense, High Noon is a western to challenge &#147;Stagecoach&#148; for the all-time championship.  (Review of Original Release)",,2004-04-30,Universal acclaim,83.0,Fred Zinnemann,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000s
Invictus,A.O. Scott,74.0,100,"It’s an exciting sports movie, an inspiring tale of prejudice overcome and, above all, a fascinating study of political leadership.",,2009-12-11,Generally favorable reviews,72.0,Clint Eastwood,English,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000s
Citizen Kane,Bosley Crowther,100.0,100,"In spite of some disconcerting lapses and strange ambiguities in the creation of the principal character, Citizen Kane is far and away the most surprising and cinematically exciting motion picture to be seen here in many a moon. As a matter of fact, it comes close to being the most sensational film ever made in Hollywood.",,1941-09-04,Universal acclaim,84.0,Orson Welles,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1940s
The Lives of Others,A.O. Scott,89.0,100,"The easy, complacent distance that informs much historical filmmaking is almost entirely absent from this supremely intelligent, unfailingly honest movie.",,2006-12-01,Universal acclaim,89.0,Florian Henckel von Donnersmarck,German,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000s
The Counselor,Manohla Dargis,48.0,100,"Mr. Scott’s seriousness isn’t always well served by the scripts he films, but in Mr. McCarthy he has found a partner with convictions about good and evil rather than canned formula.",2013-10-24,2013-10-25,Mixed or average reviews,57.0,Ridley Scott,English,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010s
Consuming Spirits,A.O. Scott,81.0,100,It is a work of obsessive artisanal discipline and unfettered artistic vision. You have never seen anything like it.,2012-12-12,2012-12-12,No score yet,,Chris Sullivan,English,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010s
Moonlight,A.O. Scott,99.0,100,"Moonlight is both a disarmingly, at times almost unbearably personal film and an urgent social document, a hard look at American reality and a poem written in light, music and vivid human faces.",2016-10-20,2016-10-21,Generally favorable reviews,72.0,Barry Jenkins,English,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Her,Manohla Dargis,90.0,100,"At once a brilliant conceptual gag and a deeply sincere romance, Her is the unlikely yet completely plausible love story about a man, who sometimes resembles a machine, and an operating system, who very much suggests a living woman.",2013-12-17,2013-12-18,Universal acclaim,86.0,Spike Jonze,English,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2010s
Cave of Forgotten Dreams,Manohla Dargis,86.0,100,"The 3-D is sometimes less than transporting, and the chanting voices in the composer Ernst Reijseger's new-agey score tended to remind me of my last spa massage. Yet what a small price to pay for such time traveling!",2011-04-28,2011-04-29,Generally favorable reviews,68.0,Werner Herzog,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
A Sinner in Mecca,Andy Webster,68.0,100,"Mr. Sharma has created a swirling, fascinating travelogue and a stirring celebration of devotion.",2015-09-03,2015-09-04,No score yet,,Parvez Sharma,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010s
Full Metal Jacket,Vincent Canby,76.0,100,"Kubrick's harrowing, beautiful and characteristically eccentric new film about Vietnam, is going to puzzle, anger and (I hope) fascinate audiences as much as any film he has made to date... A film of immense and very rare imagination.",,1987-06-26,Generally favorable reviews,70.0,Stanley Kubrick,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1980s
